Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
05-Oct-23,much power outage quezon every dawn,"['It', 'is', 'too', 'much', ',', 'there', 'is', 'a', 'power', 'outage', 'here', 'in', 'Quezon', 'every', 'dawn', '.']","['it', 'is', 'too', 'much', ',', 'there', 'is', 'a', 'power', 'outage', 'here', 'in', 'quezon', 'every', 'dawn', '.']",it is too much  there is a power outage here in quezon every dawn ,much power outage quezon every dawn,much power outage quezon every dawn,much power outage quezon every dawn,Negative,1,0
05-Oct-23,upgrade little rain electricity,"['It', 'is', 'an', 'upgrade', 'again', ',', 'but', 'with', 'just', 'a', 'little', 'rain', ',', 'there', 'is', 'no', 'electricity']","['it', 'is', 'an', 'upgrade', 'again', ',', 'but', 'with', 'just', 'a', 'little', 'rain', ',', 'there', 'is', 'no', 'electricity']",it is an upgrade again  but with just a little rain  there is no electricity,upgrade little rain electricity,upgrade little rain electricity,upgrade little rain electricity,Negative,1,0
20-Oct-23,thank much iselco continuously lower electricity bill,"['Thank', 'you', 'very', 'much', 'Iselco', 'for', 'continuously', 'lowering', 'the', 'electricity', 'bill', '.']","['thank', 'you', 'very', 'much', 'iselco', 'for', 'continuously', 'lowering', 'the', 'electricity', 'bill', '.']",thank you very much iselco for continuously lowering the electricity bill ,thank much iselco continuously lowering electricity bill,thank much iselco continuously lower electricity bill,thank much iselco continuously lower electricity bill,Positive,0,0.0772
20-Oct-23,thank much god bless iselco management power life,"['Thank', 'you', 'very', 'much', ',', 'God', 'bless', 'Iselco', 'management', ',', 'more', 'power', ',', 'and', 'more', 'life']","['thank', 'you', 'very', 'much', ',', 'god', 'bless', 'iselco', 'management', ',', 'more', 'power', ',', 'and', 'more', 'life']",thank you very much  god bless iselco management  more power  and more life,thank much god bless iselco management power life,thank much god bless iselco management power life,thank much god bless iselco management power life,Positive,0,0.7506
20-Oct-23,thank iselco salute dedication effort help consumer pay low rate,"['Thank', 'you', ',', 'Iselco', '.', 'Salute', 'for', 'your', 'dedication', 'and', 'efforts', 'in', 'helping', 'consumers', 'pay', 'lower', 'rates']","['thank', 'you', ',', 'iselco', '.', 'salute', 'for', 'your', 'dedication', 'and', 'efforts', 'in', 'helping', 'consumers', 'pay', 'lower', 'rates']",thank you  iselco  salute for your dedication and efforts in helping consumers pay lower rates,thank iselco salute dedication efforts helping consumers pay lower rates,thank iselco salute dedication effort help consumer pay low rate,thank iselco salute dedication effort help consumer pay low rate,Positive,0,0.4019
23-Oct-23,thankyou iselco stay safe godbless,"['Thankyou', 'Iselco', '!', 'Stay', 'safe', 'and', 'Godbless', '!']","['thankyou', 'iselco', '!', 'stay', 'safe', 'and', 'godbless', '!']",thankyou iselco  stay safe and godbless ,thankyou iselco stay safe godbless,thankyou iselco stay safe godbless,thankyou iselco stay safe godbless,Positive,0,0.4404
23-Oct-23,move iselco look like not paid correctly,"['Move', 'iselco', ',', 'you', 'look', 'like', 'you', 'are', 'not', 'being', 'paid', 'correctly']","['move', 'iselco', ',', 'you', 'look', 'like', 'you', 'are', 'not', 'being', 'paid', 'correctly']",move iselco  you look like you are not being paid correctly,move iselco look like not paid correctly,move iselco look like not paid correctly,move iselco look like not paid correctly,Negative,1,0.3612
27-Oct-23,service not improve remains poor,"['Service', 'has', 'not', 'improved', 'and', 'remains', 'poor']","['service', 'has', 'not', 'improved', 'and', 'remains', 'poor']",service has not improved and remains poor,service not improved remains poor,service not improve remains poor,service not improve remains poor,Negative,1,0.0382
04-Nov-23,keep safe iselco thanks power san antonio,"['Keep', 'safe', 'iselco', ',', 'thanks', 'and', 'we', 'have', 'power', 'here', 'in', 'san', 'antonio']","['keep', 'safe', 'iselco', ',', 'thanks', 'and', 'we', 'have', 'power', 'here', 'in', 'san', 'antonio']",keep safe iselco  thanks and we have power here in san antonio,keep safe iselco thanks power san antonio,keep safe iselco thanks power san antonio,keep safe iselco thanks power san antonio,Positive,0,0.7003
10-Nov-23,maybe possible brownout divide area,"['Maybe', 'it', 'is', 'possible', 'for', 'the', 'brownout', 'to', 'be', 'divided', 'by', 'area']","['maybe', 'it', 'is', 'possible', 'for', 'the', 'brownout', 'to', 'be', 'divided', 'by', 'area']",maybe it is possible for the brownout to be divided by area,maybe possible brownout divided area,maybe possible brownout divide area,maybe possible brownout divide area,Neutral,2,0
13-Nov-23,since iselco establish continuous brownout,"['Since', 'ISELCO', 'was', 'established', ',', 'there', 'have', 'been', 'continuous', 'brownouts', 'until', 'now', '.']","['since', 'iselco', 'was', 'established', ',', 'there', 'have', 'been', 'continuous', 'brownouts', 'until', 'now', '.']",since iselco was established  there have been continuous brownouts until now ,since iselco established continuous brownouts,since iselco establish continuous brownout,since iselco establish continuous brownout,Negative,1,0
19-Nov-23,thief iselco rotten corupt kill electricity reason,"['You', 'are', 'a', 'thief', 'ISELCO', ',', 'you', 'are', 'rotten', ',', 'corupt', 'too', ',', 'you', 'are', 'killing', 'electricity', 'for', 'no', 'reason']","['you', 'are', 'a', 'thief', 'iselco', ',', 'you', 'are', 'rotten', ',', 'corupt', 'too', ',', 'you', 'are', 'killing', 'electricity', 'for', 'no', 'reason']",you are a thief iselco  you are rotten  corupt too  you are killing electricity for no reason,thief iselco rotten corupt killing electricity reason,thief iselco rotten corupt kill electricity reason,thief iselco rotten corupt kill electricity reason,Negative,1,-0.9081
19-Nov-23,iselco trouble breathing,"['Iselco', ',', 'I', 'am', 'having', 'trouble', 'breathing']","['iselco', ',', 'i', 'am', 'having', 'trouble', 'breathing']",iselco  i am having trouble breathing,iselco trouble breathing,iselco trouble breathing,iselco trouble breathing,Negative,1,-0.4019
23-Nov-23,unprofesional costumer service representative,"['Very', 'unprofesional', 'costumer', 'service', 'representatives']","['very', 'unprofesional', 'costumer', 'service', 'representatives']",very unprofesional costumer service representatives,unprofesional costumer service representatives,unprofesional costumer service representative,unprofesional costumer service representative,Negative,1,0
05-Dec-23,sunday day business people also family day together shopping household need hopefully electricity service restore soon thank,"['Sunday', 'is', 'the', 'day', 'of', 'business', 'people', 'and', 'also', 'the', 'family', 'day', 'where', 'we', 'are', 'together', 'shopping', 'for', 'household', 'needs', '.', 'Hopefully', ',', 'the', 'electricity', 'service', 'will', 'be', 'restored', 'soon', '.', 'Thank', 'you']","['sunday', 'is', 'the', 'day', 'of', 'business', 'people', 'and', 'also', 'the', 'family', 'day', 'where', 'we', 'are', 'together', 'shopping', 'for', 'household', 'needs', '.', 'hopefully', ',', 'the', 'electricity', 'service', 'will', 'be', 'restored', 'soon', '.', 'thank', 'you']",sunday is the day of business people and also the family day where we are together shopping for household needs  hopefully  the electricity service will be restored soon  thank you,sunday day business people also family day together shopping household needs hopefully electricity service restored soon thank,sunday day business people also family day together shopping household need hopefully electricity service restore soon thank,sunday day business people also family day together shopping household need hopefully electricity service restore soon thank,Neutral,2,0.7506
05-Dec-23,not always schedule power shutdown sunday make time family iselco god bless,"['do', 'not', 'always', 'schedule', 'power', 'shutdowns', 'on', 'Sundays', '.', 'Make', 'time', 'to', 'be', 'with', 'your', 'family', 'too', ',', 'Iselco', '.', 'God', 'bless', '.']","['do', 'not', 'always', 'schedule', 'power', 'shutdowns', 'on', 'sundays', '.', 'make', 'time', 'to', 'be', 'with', 'your', 'family', 'too', ',', 'iselco', '.', 'god', 'bless', '.']",do not always schedule power shutdowns on sundays  make time to be with your family too  iselco  god bless ,not always schedule power shutdowns sundays make time family iselco god bless,not always schedule power shutdown sunday make time family iselco god bless,not always schedule power shutdown sunday make time family iselco god bless,Neutral,2,0.5994
05-Dec-23,please not schedule power outage sunday time sunday church day,"['Please', 'do', 'not', 'schedule', 'power', 'outages', 'on', 'Sundays', 'all', 'the', 'time', '.', 'Sunday', 'is', 'a', 'Church', 'day', '.']","['please', 'do', 'not', 'schedule', 'power', 'outages', 'on', 'sundays', 'all', 'the', 'time', '.', 'sunday', 'is', 'a', 'church', 'day', '.']",please do not schedule power outages on sundays all the time  sunday is a church day ,please not schedule power outages sundays time sunday church day,please not schedule power outage sunday time sunday church day,please not schedule power outage sunday time sunday church day,Neutral,2,0.3182
05-Dec-23,iso certify line way iselco,"['ISO', 'certified', ',', 'if', 'there', 'are', 'other', 'lines', ',', 'no', 'way', 'ISELCO']","['iso', 'certified', ',', 'if', 'there', 'are', 'other', 'lines', ',', 'no', 'way', 'iselco']",iso certified  if there are other lines  no way iselco,iso certified lines way iselco,iso certify line way iselco,iso certify line way iselco,Negative,1,0
10-Dec-23,thank immediate restoration electric power,"['Thank', 'you', 'for', 'the', 'immediate', 'restoration', 'of', 'the', 'electric', 'power', '.']","['thank', 'you', 'for', 'the', 'immediate', 'restoration', 'of', 'the', 'electric', 'power', '.']",thank you for the immediate restoration of the electric power ,thank immediate restoration electric power,thank immediate restoration electric power,thank immediate restoration electric power,Positive,0,0.3612
10-Dec-23,iselco one happy,"['Iselco', 'no', 'one', 'is', 'happy', 'with', 'you', '!']","['iselco', 'no', 'one', 'is', 'happy', 'with', 'you', '!']",iselco no one is happy with you ,iselco one happy,iselco one happy,iselco one happy,Negative,1,0.5719
10-Dec-23,hope cut electricity barangay list,"['I', 'hope', 'you', 'only', 'cut', 'the', 'electricity', 'on', 'the', 'barangay', 'on', 'your', 'list']","['i', 'hope', 'you', 'only', 'cut', 'the', 'electricity', 'on', 'the', 'barangay', 'on', 'your', 'list']",i hope you only cut the electricity on the barangay on your list,hope cut electricity barangay list,hope cut electricity barangay list,hope cut electricity barangay list,Neutral,2,0.2023
10-Dec-23,customer service representative always friendly helpful,"['The', 'customer', 'service', 'representatives', 'are', 'always', 'friendly', 'and', 'helpful', '.']","['the', 'customer', 'service', 'representatives', 'are', 'always', 'friendly', 'and', 'helpful', '.']",the customer service representatives are always friendly and helpful ,customer service representatives always friendly helpful,customer service representative always friendly helpful,customer service representative always friendly helpful,Positive,0,0.7184
10-Dec-23,iselco greatly improve response time customer inquiry,"['ISELCO', 'has', 'greatly', 'improved', 'their', 'response', 'time', 'to', 'customer', 'inquiries', '.']","['iselco', 'has', 'greatly', 'improved', 'their', 'response', 'time', 'to', 'customer', 'inquiries', '.']",iselco has greatly improved their response time to customer inquiries ,iselco greatly improved response time customer inquiries,iselco greatly improve response time customer inquiry,iselco greatly improve response time customer inquiry,Positive,0,0.4927
10-Dec-23,appreciate transparency billing process make everything clearer,"['I', 'appreciate', 'the', 'transparency', 'in', 'your', 'billing', 'process', ';', 'it', 'makes', 'everything', 'clearer', '.']","['i', 'appreciate', 'the', 'transparency', 'in', 'your', 'billing', 'process', ';', 'it', 'makes', 'everything', 'clearer', '.']",i appreciate the transparency in your billing process  it makes everything clearer ,appreciate transparency billing process makes everything clearer,appreciate transparency billing process make everything clearer,appreciate transparency billing process make everything clearer,Positive,0,0.4019
10-Dec-23,hotline accommodate always available need assistance,"['The', 'hotline', 'is', 'very', 'accommodating', 'and', 'always', 'available', 'when', 'I', 'need', 'assistance', '.']","['the', 'hotline', 'is', 'very', 'accommodating', 'and', 'always', 'available', 'when', 'i', 'need', 'assistance', '.']",the hotline is very accommodating and always available when i need assistance ,hotline accommodating always available need assistance,hotline accommodate always available need assistance,hotline accommodate always available need assistance,Positive,0,0
10-Dec-23,thank prompt service truly make difference,"['Thank', 'you', 'for', 'your', 'prompt', 'service', ';', 'it', 'truly', 'makes', 'a', 'difference', '.']","['thank', 'you', 'for', 'your', 'prompt', 'service', ';', 'it', 'truly', 'makes', 'a', 'difference', '.']",thank you for your prompt service  it truly makes a difference ,thank prompt service truly makes difference,thank prompt service truly make difference,thank prompt service truly make difference,Positive,0,0.6597
10-Dec-23,improvement still bad service,"['No', 'improvement', ',', 'still', 'bad', 'service']","['no', 'improvement', ',', 'still', 'bad', 'service']",no improvement  still bad service,improvement still bad service,improvement still bad service,improvement still bad service,Negative,1,-0.128
10-Dec-23,nothing change still bad service,"['Nothing', 'changed', ',', 'still', 'bad', 'service']","['nothing', 'changed', ',', 'still', 'bad', 'service']",nothing changed  still bad service,nothing changed still bad service,nothing change still bad service,nothing change still bad service,Negative,1,0.431
10-Dec-23,power outage never change isleco,"['The', 'power', 'outage', 'again', ',', 'you', 'never', 'change', 'ISLECO', '.']","['the', 'power', 'outage', 'again', ',', 'you', 'never', 'change', 'isleco', '.']",the power outage again  you never change isleco ,power outage never change isleco,power outage never change isleco,power outage never change isleco,Negative,1,0
10-Dec-23,iselco keep damage appliance brownout service unreliable,"['Iselco', ',', 'you', 'keep', 'damaging', 'appliances', 'because', 'of', 'brownouts', ',', 'your', 'service', 'is', 'unreliable']","['iselco', ',', 'you', 'keep', 'damaging', 'appliances', 'because', 'of', 'brownouts', ',', 'your', 'service', 'is', 'unreliable']",iselco  you keep damaging appliances because of brownouts  your service is unreliable,iselco keep damaging appliances brownouts service unreliable,iselco keep damage appliance brownout service unreliable,iselco keep damage appliance brownout service unreliable,Negative,1,-0.4939
10-Dec-23,always like iselco,"['You', 'are', 'always', 'like', 'that', 'ISELCO']","['you', 'are', 'always', 'like', 'that', 'iselco']",you are always like that iselco,always like iselco,always like iselco,always like iselco,Neutral,2,0.3612
10-Dec-23,day without electric power,"['All', 'day', 'without', 'electric', 'power']","['all', 'day', 'without', 'electric', 'power']",all day without electric power,day without electric power,day without electric power,day without electric power,Negative,1,0
11-Dec-23,would well announce beforehand prepare,"['it', 'would', 'be', 'better', 'if', 'you', 'just', 'announce', 'it', 'beforehand', 'so', 'we', 'can', 'prepare']","['it', 'would', 'be', 'better', 'if', 'you', 'just', 'announce', 'it', 'beforehand', 'so', 'we', 'can', 'prepare']",it would be better if you just announce it beforehand so we can prepare,would better announce beforehand prepare,would well announce beforehand prepare,would well announce beforehand prepare,Neutral,2,0.2732
11-Dec-23,next season episode power outage television watch,"['What', 'is', 'the', 'next', 'season', 'and', 'episode', 'of', 'the', 'power', 'outage', '?', 'I', 'will', 'have', 'my', 'television', 'on', 'to', 'watch']","['what', 'is', 'the', 'next', 'season', 'and', 'episode', 'of', 'the', 'power', 'outage', '?', 'i', 'will', 'have', 'my', 'television', 'on', 'to', 'watch']",what is the next season and episode of the power outage  i will have my television on to watch,next season episode power outage television watch,next season episode power outage television watch,next season episode power outage television watch,Neutral,2,0
11-Dec-23,brownout always like,"['Brownout', 'again', ',', 'it', 'is', 'always', 'like', 'this', '.']","['brownout', 'again', ',', 'it', 'is', 'always', 'like', 'this', '.']",brownout again  it is always like this ,brownout always like,brownout always like,brownout always like,Negative,1,0.3612
11-Dec-23,electricity day yesterday even today,"['There', 'was', 'no', 'electricity', 'all', 'day', 'yesterday', ',', 'and', 'even', 'today']","['there', 'was', 'no', 'electricity', 'all', 'day', 'yesterday', ',', 'and', 'even', 'today']",there was no electricity all day yesterday  and even today,electricity day yesterday even today,electricity day yesterday even today,electricity day yesterday even today,Negative,1,0
11-Dec-23,hopefully give advance notice not like today notice blackout today much,"['Hopefully', ',', 'give', 'advance', 'notice', '.', 'Not', 'like', 'today', 'notice', ',', 'blackout', 'today', '.', 'It', 'is', 'too', 'much']","['hopefully', ',', 'give', 'advance', 'notice', '.', 'not', 'like', 'today', 'notice', ',', 'blackout', 'today', '.', 'it', 'is', 'too', 'much']",hopefully  give advance notice  not like today notice  blackout today  it is too much,hopefully give advance notice not like today notice blackout today much,hopefully give advance notice not like today notice blackout today much,hopefully give advance notice not like today notice blackout today much,Negative,1,0.1506
11-Dec-23,god sake difficult frequent power outage,"['For', 'God', 'sake', ',', 'it', 'is', 'so', 'difficult', 'having', 'these', 'frequent', 'power', 'outages']","['for', 'god', 'sake', ',', 'it', 'is', 'so', 'difficult', 'having', 'these', 'frequent', 'power', 'outages']",for god sake  it is so difficult having these frequent power outages,god sake difficult frequent power outages,god sake difficult frequent power outage,god sake difficult frequent power outage,Negative,1,-0.1027
11-Dec-23,penalty faster flash come service slow,"['If', 'there', 'is', 'a', 'penalty', ',', 'you', 'are', 'faster', 'than', 'the', 'Flash', ',', 'but', 'when', 'it', 'comes', 'to', 'your', 'service', ',', 'it', 'is', 'so', 'slow']","['if', 'there', 'is', 'a', 'penalty', ',', 'you', 'are', 'faster', 'than', 'the', 'flash', ',', 'but', 'when', 'it', 'comes', 'to', 'your', 'service', ',', 'it', 'is', 'so', 'slow']",if there is a penalty  you are faster than the flash  but when it comes to your service  it is so slow,penalty faster flash comes service slow,penalty faster flash come service slow,penalty faster flash come service slow,Negative,1,-0.4588
11-Dec-23,post last night would electricity today not today power already,"['You', 'should', 'have', 'posted', 'last', 'night', 'that', 'there', 'would', 'be', 'no', 'electricity', 'again', 'today', ',', 'not', 'today', 'when', 'the', 'power', 'is', 'already', 'out']","['you', 'should', 'have', 'posted', 'last', 'night', 'that', 'there', 'would', 'be', 'no', 'electricity', 'again', 'today', ',', 'not', 'today', 'when', 'the', 'power', 'is', 'already', 'out']",you should have posted last night that there would be no electricity again today  not today when the power is already out,posted last night would electricity today not today power already,post last night would electricity today not today power already,post last night would electricity today not today power already,Negative,1,0
11-Dec-23,anytime without notice,"['Anytime', ',', 'without', 'notice', ',', 'what', 'about', 'it', '?']","['anytime', ',', 'without', 'notice', ',', 'what', 'about', 'it', '?']",anytime  without notice  what about it ,anytime without notice,anytime without notice,anytime without notice,Neutral,2,0
11-Dec-23,consumer pay correctly service provide right,"['Your', 'consumers', 'pay', 'correctly', ',', 'and', 'that', 'is', 'the', 'service', 'you', 'provide', '?', '!', 'Is', 'that', 'right', '?']","['your', 'consumers', 'pay', 'correctly', ',', 'and', 'that', 'is', 'the', 'service', 'you', 'provide', '?', '!', 'is', 'that', 'right', '?']",your consumers pay correctly  and that is the service you provide   is that right ,consumers pay correctly service provide right,consumer pay correctly service provide right,consumer pay correctly service provide right,Negative,1,-0.1027
11-Dec-23,power outage every day job need electricity,"['What', 'is', 'this', '!', 'Power', 'outage', 'every', 'day', '?', 'What', 'about', 'our', 'jobs', 'that', 'need', 'electricity', '?']","['what', 'is', 'this', '!', 'power', 'outage', 'every', 'day', '?', 'what', 'about', 'our', 'jobs', 'that', 'need', 'electricity', '?']",what is this  power outage every day  what about our jobs that need electricity ,power outage every day jobs need electricity,power outage every day job need electricity,power outage every day job need electricity,Neutral,2,0
11-Dec-23,state notice day power outage advisory give many appliance could damage,"['it', 'is', 'stated', 'that', 'there', 'should', 'be', 'a', 'notice', 'or', 'a', 'day', 'before', 'any', 'power', 'outage', 'advisory', 'is', 'given', 'because', 'many', 'appliances', 'could', 'be', 'damaged', '.']","['it', 'is', 'stated', 'that', 'there', 'should', 'be', 'a', 'notice', 'or', 'a', 'day', 'before', 'any', 'power', 'outage', 'advisory', 'is', 'given', 'because', 'many', 'appliances', 'could', 'be', 'damaged', '.']",it is stated that there should be a notice or a day before any power outage advisory is given because many appliances could be damaged ,stated notice day power outage advisory given many appliances could damaged,state notice day power outage advisory give many appliance could damage,state notice day power outage advisory give many appliance could damage,Neutral,2,-0.4939
11-Dec-23,not power outage every day not even ashamed,"['Why', 'do', 'not', 'you', 'just', 'have', 'power', 'outages', 'every', 'day', ',', 'you', 'are', 'not', 'even', 'ashamed', '.']","['why', 'do', 'not', 'you', 'just', 'have', 'power', 'outages', 'every', 'day', ',', 'you', 'are', 'not', 'even', 'ashamed', '.']",why do not you just have power outages every day  you are not even ashamed ,not power outages every day not even ashamed,not power outage every day not even ashamed,not power outage every day not even ashamed,Negative,1,0.3724
13-Dec-23,power outage frequent charge high,"['Your', 'power', 'outages', 'are', 'frequent', 'and', 'your', 'charges', 'are', 'high']","['your', 'power', 'outages', 'are', 'frequent', 'and', 'your', 'charges', 'are', 'high']",your power outages are frequent and your charges are high,power outages frequent charges high,power outage frequent charge high,power outage frequent charge high,Negative,1,0
15-Dec-23,damage business always power outage,"['You', 'are', 'damaging', 'the', 'business', ',', 'there', 'is', 'always', 'a', 'power', 'outage']","['you', 'are', 'damaging', 'the', 'business', ',', 'there', 'is', 'always', 'a', 'power', 'outage']",you are damaging the business  there is always a power outage,damaging business always power outage,damage business always power outage,damage business always power outage,Negative,1,-0.4939
15-Dec-23,food place refrigerator spoil frequent power outage,"['The', 'food', 'we', 'placed', 'in', 'the', 'refrigerator', 'will', 'spoil', 'because', 'of', 'frequent', 'power', 'outages', '.']","['the', 'food', 'we', 'placed', 'in', 'the', 'refrigerator', 'will', 'spoil', 'because', 'of', 'frequent', 'power', 'outages', '.']",the food we placed in the refrigerator will spoil because of frequent power outages ,food placed refrigerator spoil frequent power outages,food place refrigerator spoil frequent power outage,food place refrigerator spoil frequent power outage,Negative,1,0
23-Dec-23,christmas cut electricity,"['It', 'is', 'christmas', 'and', 'you', 'cuts', 'off', 'electricity']","['it', 'is', 'christmas', 'and', 'you', 'cuts', 'off', 'electricity']",it is christmas and you cuts off electricity,christmas cuts electricity,christmas cut electricity,christmas cut electricity,Negative,1,-0.2732
25-Dec-23,house light street light people stay awake ca not sleep unannounced blackout,"['The', 'houses', 'have', 'no', 'light', 'but', 'the', 'street', 'lights', 'does', ',', 'people', 'are', 'staying', 'awake', ',', 'we', 'ca', 'not', 'sleep', 'because', 'of', 'the', 'unannounced', 'blackout']","['the', 'houses', 'have', 'no', 'light', 'but', 'the', 'street', 'lights', 'does', ',', 'people', 'are', 'staying', 'awake', ',', 'we', 'ca', 'not', 'sleep', 'because', 'of', 'the', 'unannounced', 'blackout']",the houses have no light but the street lights does  people are staying awake  we ca not sleep because of the unannounced blackout,houses light street lights people staying awake ca not sleep unannounced blackout,house light street light people stay awake ca not sleep unannounced blackout,house light street light people stay awake ca not sleep unannounced blackout,Negative,1,0
09-Jan-24,nice information iselco super accurate,"['Nice', 'information', 'iselco', 'super', 'accurate']","['nice', 'information', 'iselco', 'super', 'accurate']",nice information iselco super accurate,nice information iselco super accurate,nice information iselco super accurate,nice information iselco super accurate,Positive,0,0.7717
09-Jan-24,santa catalina brownout quirino right quirino,"['Santa', 'Catalina', 'is', 'the', 'only', 'brownout', 'in', 'Quirino', ',', 'right', '?', 'It', 'is', 'all', 'over', 'Quirino']","['santa', 'catalina', 'is', 'the', 'only', 'brownout', 'in', 'quirino', ',', 'right', '?', 'it', 'is', 'all', 'over', 'quirino']",santa catalina is the only brownout in quirino  right  it is all over quirino,santa catalina brownout quirino right quirino,santa catalina brownout quirino right quirino,santa catalina brownout quirino right quirino,Negative,1,0
09-Jan-24,please fix information information not match,"['Please', 'fix', 'your', 'information', 'because', 'your', 'information', 'does', 'not', 'match']","['please', 'fix', 'your', 'information', 'because', 'your', 'information', 'does', 'not', 'match']",please fix your information because your information does not match,please fix information information not match,please fix information information not match,please fix information information not match,Negative,1,0.3182
09-Jan-24,thank update,"['Thank', 'you', 'for', 'the', 'update']","['thank', 'you', 'for', 'the', 'update']",thank you for the update,thank update,thank update,thank update,Positive,0,0.3612
21-Jan-24,service instant,"['The', 'service', 'is', 'instant']","['the', 'service', 'is', 'instant']",the service is instant,service instant,service instant,service instant,Positive,0,0
06-Feb-24,good job good advisroy consumer,"['Good', 'job', ',', 'good', 'advisroy', 'for', 'consumers']","['good', 'job', ',', 'good', 'advisroy', 'for', 'consumers']",good job  good advisroy for consumers,good job good advisroy consumers,good job good advisroy consumer,good job good advisroy consumer,Positive,0,0.7003
06-Feb-24,circuit breaker trip much electricity flow simple explanation power interruption,"['Circuit', 'breakers', 'trip', 'when', 'there', 'is', 'too', 'much', 'electricity', 'flowing', 'through', 'them', '.', 'This', 'is', 'a', 'simple', 'explanation', 'why', 'there', 'is', 'a', 'power', 'interruption']","['circuit', 'breakers', 'trip', 'when', 'there', 'is', 'too', 'much', 'electricity', 'flowing', 'through', 'them', '.', 'this', 'is', 'a', 'simple', 'explanation', 'why', 'there', 'is', 'a', 'power', 'interruption']",circuit breakers trip when there is too much electricity flowing through them  this is a simple explanation why there is a power interruption,circuit breakers trip much electricity flowing simple explanation power interruption,circuit breaker trip much electricity flow simple explanation power interruption,circuit breaker trip much electricity flow simple explanation power interruption,Neutral,2,-0.3612
10-Feb-24,schedule brownout do still cool child would not suffer,"['In', 'scheduling', 'a', 'brownout', ',', 'it', 'should', 'be', 'done', 'when', 'it', 'is', 'still', 'cool', ',', 'so', 'that', 'the', 'children', 'would', 'not', 'suffer', '.']","['in', 'scheduling', 'a', 'brownout', ',', 'it', 'should', 'be', 'done', 'when', 'it', 'is', 'still', 'cool', ',', 'so', 'that', 'the', 'children', 'would', 'not', 'suffer', '.']",in scheduling a brownout  it should be done when it is still cool  so that the children would not suffer ,scheduling brownout done still cool children would not suffer,schedule brownout do still cool child would not suffer,schedule brownout do still cool child would not suffer,Neutral,2,0.631
13-Feb-24,please upgrade system maintenance weekend,"['Please', 'do', 'upgrades', 'and', 'system', 'maintenance', 'on', 'weekends']","['please', 'do', 'upgrades', 'and', 'system', 'maintenance', 'on', 'weekends']",please do upgrades and system maintenance on weekends,please upgrades system maintenance weekends,please upgrade system maintenance weekend,please upgrade system maintenance weekend,Neutral,2,0.3182
13-Feb-24,hopefully would not class brownout,"['Hopefully', 'there', 'would', 'not', 'be', 'classes', 'when', 'there', 'is', 'a', 'brownout']","['hopefully', 'there', 'would', 'not', 'be', 'classes', 'when', 'there', 'is', 'a', 'brownout']",hopefully there would not be classes when there is a brownout,hopefully would not classes brownout,hopefully would not class brownout,hopefully would not class brownout,Neutral,2,0.4019
13-Feb-24,say brownout would six six pm past six still light,"['You', 'said', 'the', 'brownout', 'would', 'be', 'from', 'six', 'am', 'to', 'six', 'pm', ',', 'but', 'it', 'is', 'past', 'six', 'and', 'there', 'is', 'still', 'no', 'light', '.']","['you', 'said', 'the', 'brownout', 'would', 'be', 'from', 'six', 'am', 'to', 'six', 'pm', ',', 'but', 'it', 'is', 'past', 'six', 'and', 'there', 'is', 'still', 'no', 'light', '.']",you said the brownout would be from six am to six pm  but it is past six and there is still no light ,said brownout would six six pm past six still light,say brownout would six six pm past six still light,say brownout would six six pm past six still light,Negative,1,0
20-Feb-24,always power interruption not get bore,"['It', 'is', 'always', 'power', 'interruption', ',', 'do', 'you', 'not', 'get', 'bored', '?']","['it', 'is', 'always', 'power', 'interruption', ',', 'do', 'you', 'not', 'get', 'bored', '?']",it is always power interruption  do you not get bored ,always power interruption not get bored,always power interruption not get bore,always power interruption not get bore,Negative,1,-0.1926
04-Mar-24,five oclock morning brownout hope not last day,"['Five', ""o'clock"", 'in', 'the', 'morning', 'brownout', ',', 'I', 'hope', 'it', 'does', 'not', 'last', 'all', 'day']","['five', ""o'clock"", 'in', 'the', 'morning', 'brownout', ',', 'i', 'hope', 'it', 'does', 'not', 'last', 'all', 'day']",five oclock in the morning brownout  i hope it does not last all day,five oclock morning brownout hope not last day,five oclock morning brownout hope not last day,five oclock morning brownout hope not last day,Negative,1,0.4404
04-Mar-24,mixed feeling service sometimes good sometimes not,"['I', 'have', 'mixed', 'feelings', 'about', 'the', 'service', ';', 'sometimes', 'it', '?', 'good', ',', 'sometimes', 'it', '?', 'not', '.']","['i', 'have', 'mixed', 'feelings', 'about', 'the', 'service', ';', 'sometimes', 'it', '?', 'good', ',', 'sometimes', 'it', '?', 'not', '.']",i have mixed feelings about the service  sometimes it  good  sometimes it  not ,mixed feelings service sometimes good sometimes not,mixed feeling service sometimes good sometimes not,mixed feeling service sometimes good sometimes not,Neutral,2,0.5267
